Feature set,Seed,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier
All features,27,XGBoost,0.9042984590429846,0.7188755020080321,0.6258741258741258,0.6691588785046729,0.9291874179546069,0.749875829293781,0.06905778627263437
All features,27,LightGBM,0.8534739118680724,0.5158898305084746,0.8513986013986014,0.6424802110817942,0.9299824336201055,0.746853020166646,0.110872067948014
All features,37,Logistic regression,0.8510408218437415,0.5121107266435986,0.7762237762237763,0.6170952050034746,0.9089874787828097,0.6483655063060045,0.12256360553021953
All features,37,Random forest,0.8948364422816978,0.6324167872648335,0.763986013986014,0.6920031670625495,0.9388715697478089,0.7651786966736609,0.07518123104041176
All features,37,Gradient boosting,0.9056501757231684,0.728952772073922,0.6206293706293706,0.6704438149197356,0.938160696035656,0.7619154310543321,0.06705774013884648
All features,37,XGBoost,0.9051094890510949,0.7268993839835729,0.6188811188811189,0.6685552407932012,0.9395676277671801,0.7667455521336288,0.06624730972373696
All features,37,LightGBM,0.8629359286293593,0.535059331175836,0.8671328671328671,0.6617745163442295,0.9386985336377726,0.7654382798306538,0.10267524651628569
All features,47,Logistic regression,0.8510408218437415,0.5124851367419738,0.7534965034965035,0.6100495399858458,0.9033016072510797,0.6493622969525085,0.12035009852392531
All features,47,Random forest,0.8924033522573669,0.629080118694362,0.7412587412587412,0.680577849117175,0.9332248340083326,0.7518735011260401,0.07673581980853897
All features,47,Gradient boosting,0.907272235739389,0.7483731019522777,0.6031468531468531,0.6679574056147144,0.9349633018085209,0.7554658763331245,0.06713896834168692
All features,47,XGBoost,0.9088942957556096,0.7537796976241901,0.6101398601398601,0.6743961352657005,0.9359981639722605,0.7599774294458447,0.06681895133190886
All features,47,LightGBM,0.8634766153014328,0.5364526659412405,0.8618881118881119,0.6613011401743796,0.9360040343410987,0.7570365968639733,0.10252079112537117
All features,57,Logistic regression,0.8413084617464179,0.49138920780711826,0.7482517482517482,0.5932085932085932,0.8932677491999526,0.6348703159894026,0.12320275239594651
All features,57,Random forest,0.8942957556096243,0.6385911179173047,0.7290209790209791,0.6808163265306122,0.9298026885171112,0.7329153474906037,0.07710490441312934
All features,57,Gradient boosting,0.8986212489862125,0.7109207708779444,0.5804195804195804,0.6390760346487007,0.9281682101077688,0.7262818986065157,0.07121918105246365
All features,57,XGBoost,0.8994322789943228,0.7192982456140351,0.5734265734265734,0.6381322957198443,0.9291751181341843,0.7306535382112788,0.07079265904463174
All features,57,LightGBM,0.863206271965396,0.5365853658536586,0.8461538461538461,0.6567164179104478,0.9293489928683405,0.7310725387314861,0.103353053110286
All features,67,Logistic regression,0.8540145985401459,0.5193236714975845,0.7517482517482518,0.6142857142857143,0.9139325656754502,0.670258171185811,0.11640192805844189
All features,67,Random forest,0.8978102189781022,0.641399416909621,0.7692307692307693,0.699523052464229,0.9405700631316237,0.7606167925951349,0.07398302261088505
All features,67,Gradient boosting,0.9075425790754258,0.7346938775510204,0.6293706293706294,0.6779661016949152,0.939484324437954,0.7688141472247605,0.06554353824940197
All features,67,XGBoost,0.9099756690997567,0.7404426559356136,0.6433566433566433,0.6884939195509823,0.9406802024326809,0.7712689918511587,0.06497883856860608
All features,67,LightGBM,0.8656393619897269,0.5410733844468785,0.8636363636363636,0.6653198653198653,0.941481647549764,0.7724066631459119,0.09998956424042107
All features,77,Logistic regression,0.8556366585563666,0.522093023255814,0.784965034965035,0.6270949720670391,0.910443330254651,0.6655780575730135,0.11867792735303356
All features,77,Random forest,0.895647472289808,0.6336206896551724,0.7709790209790209,0.695583596214511,0.9429607009555842,0.7792688422909977,0.07317299933458427
