Curve,x,y,Model
ROC,0.045091141669331626,0.5541958041958042,Logistic regression
ROC,0.045091141669331626,0.5559440559440559,Logistic regression
ROC,0.04605052766229613,0.5559440559440559,Logistic regression
ROC,0.04605052766229613,0.5576923076923077,Logistic regression
ROC,0.0463703229932843,0.5576923076923077,Logistic regression
ROC,0.0463703229932843,0.5594405594405595,Logistic regression
ROC,0.04700991365526063,0.5594405594405595,Logistic regression
ROC,0.04700991365526063,0.5664335664335665,Logistic regression
ROC,0.0473297089862488,0.5664335664335665,Logistic regression
ROC,0.0473297089862488,0.5716783216783217,Logistic regression
ROC,0.048289094979213305,0.5716783216783217,Logistic regression
ROC,0.048289094979213305,0.5751748251748252,Logistic regression
ROC,0.050527662296130475,0.5751748251748252,Logistic regression
ROC,0.050527662296130475,0.5769230769230769,Logistic regression
ROC,0.05116725295810681,0.5769230769230769,Logistic regression
ROC,0.05116725295810681,0.5786713286713286,Logistic regression
ROC,0.05148704828909498,0.5786713286713286,Logistic regression
ROC,0.05148704828909498,0.5856643356643356,Logistic regression
ROC,0.05276622961304765,0.5856643356643356,Logistic regression
ROC,0.05276622961304765,0.5874125874125874,Logistic regression
ROC,0.05308602494403582,0.5874125874125874,Logistic regression
ROC,0.05308602494403582,0.5909090909090909,Logistic regression
ROC,0.05500479692996482,0.5909090909090909,Logistic regression
ROC,0.05500479692996482,0.5926573426573427,Logistic regression
ROC,0.05564438759194116,0.5926573426573427,Logistic regression
ROC,0.05564438759194116,0.5961538461538461,Logistic regression
ROC,0.055964182922929324,0.5961538461538461,Logistic regression
ROC,0.055964182922929324,0.5979020979020979,Logistic regression
ROC,0.05628397825391749,0.5979020979020979,Logistic regression
ROC,0.05628397825391749,0.5996503496503497,Logistic regression
ROC,0.057243364246882,0.5996503496503497,Logistic regression
ROC,0.057243364246882,0.6066433566433567,Logistic regression
ROC,0.0582027502398465,0.6066433566433567,Logistic regression
ROC,0.0582027502398465,0.6136363636363636,Logistic regression
ROC,0.05884234090182283,0.6136363636363636,Logistic regression
ROC,0.05884234090182283,0.6171328671328671,Logistic regression
ROC,0.059162136232811004,0.6171328671328671,Logistic regression
ROC,0.059162136232811004,0.6206293706293706,Logistic regression
